ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060011475,35627,6675
T20060011482,57539,5865
T20060011496,44382,9718
T20060011547,478,5278
T20060011663,793,1000
T20060011663,793,6245
T20060011664,40501,8912
T20060011708,40961,5457
T20060011721,51107,3158
T20060011722,29491,9092
T20060011735,37691,100450
T20060011769,868,6542
T20060011773,30019,6897
T20060011788,41876,5953
T20060011885,40410,5483
T20060011888,41770,6136
T20060011959,40961,5457
T20060011960,43752,8706
T20060011973,52848,2353
T20060012012,35532,5664
T20060012196,42098,6241
T20060012205,792,6188
T20060012234,41991,6068
T20060012267,41843,5786
T20060012267,41843,5790
T20060012334,29386,9310
T20060012393,38688,9403
T20060012402,438,5027
T20060012415,41693,5977
T20060012444,792,6188
T20060012487,42157,6253
T20060012523,249,9522
T20060012537,40500,5586
T20060012560,37788,5524
T20060012566,36160,6944
T20060012675,36321,6357
T20060012822,35714,9253
T20060012832,29386,9310
T20060012888,29836,9447
T20060012924,41910,5898
T20060012995,36150,5999
T20060013037,17632,3147
T20060013197,35705,8789
T20060013345,55617,3171
T20060013348,37179,9562
T20060013375,48334,7644
T20060013468,55623,9740
T20060013476,36208,9365
T20060013505,38291,5065
T20060013529,793,1000
T20060013529,793,6245
T20060013676,74261,5054
T20060013752,36210,9380
T20060013754,36448,6668
T20060013819,32860,6553
T20060013830,55849,7989
T20060013846,53216,9528
T20060013880,29816,9249
T20060014296,35784,7797
T20060014375,52494,1024
T20060014621,40783,5693
T20060014869,35526,5469
T20060014900,36221,9332
T20060015014,46521,5149
T20060015024,52047,1113
T20060015149,52865,2372
T20060015250,38244,5079
T20060015263,39539,5260
T20060015275,45123,1227
T20060015297,26244,4195
T20060015314,46695,6177
T20060015374,15057,9368
T20060015386,57661,7800
T20060015390,37362,8831
T20060015428,52085,1150
T20060015466,29404,6679
T20060015538,36932,9528
T20060015567,10592,1000
T20060015578,40141,9702
T20060015658,49935,7716
T20060015688,35784,7797
T20060015733,36969,5766
T20060015735,46818,5064
T20060015756,72366,7767
T20060015761,29746,6662
T20060015806,40803,5475
T20060016068,47550,7062
T20060016083,43053,9065
T20060016096,48399,6337
T20060016163,48289,9246
T20060016176,37894,9123
T20060016346,11083,5778
T20060016414,44463,7723
T20060016515,35308,9387
T20060016558,10592,1000
T20060016637,43152,6443
