ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20080021672,43859,6846
T20080021689,792,6188
T20080021766,40789,5636
T20080021826,478,5278
T20080021883,46543,1004
T20080021906,57091,9031
T20080021935,55700,5441
T20080021938,27760,6766
T20080021960,35314,7184
T20080021979,38449,5158
T20080021981,42197,6313
T20080022012,39785,5416
T20080022026,40894,5585
T20080022071,43510,6951
T20080022084,1323,8786
T20080022108,39071,9068
T20080022157,48998,1026
T20080022261,40802,5697
T20080022283,65647,101232
T20080022301,43049,6487
T20080022315,222082,4082
T20080022371,29746,6662
T20080022395,42815,6544
T20080022452,35444,9395
T20080022502,35566,5803
T20080022505,48134,102816
T20080022524,45118,9256
T20080022576,43431,6976
T20080022590,478,5278
T20080022620,39071,9068
T20080022667,37531,8685
T20080022705,46492,5699
T20080022733,10592,1000
T20080022796,38694,8704
T20080022903,37916,9285
T20080022908,29672,6065
T20080022955,57080,5019
T20080023004,37590,9626
T20080023069,39844,5311
T20080023129,47248,1001
T20080023129,47248,9386
T20080023154,35438,8834
T20080023183,35408,9657
T20080023265,892,6663
T20080023286,41722,6070
T20080023346,713,6096
T20080023349,1064,7192
T20080023400,43895,6872
T20080023405,29372,9309
T20080023531,22510,2285
T20080023648,49826,7689
T20080023695,40143,9703
T20080023701,35387,9561
T20080023704,48278,7741
T20080023721,41039,5741
T20080023737,35737,6772
T20080023778,42197,6313
T20080023784,44633,9074
T20080023930,36328,102130
T20080023947,29464,9643
T20080023968,218068,1020
T20080023996,36731,5747
T20080024034,36983,9581
T20080024170,285098,4082
T20080024211,57585,6263
T20080024222,35578,6356
T20080024224,40595,5739
T20080024236,57538,5867
T20080024248,57110,5491
T20080024336,47700,6738
T20080024342,41814,5765
T20080024349,46543,1004
T20080024358,35689,9229
T20080024389,15202,3093
T20080024424,44912,9254
T20080024466,39923,9693
T20080024471,43286,6690
T20080024476,37962,9095
T20080024493,35446,9376
T20080024532,42866,6484
T20080024608,30722,9239
T20080024638,19446,4197
T20080024756,43287,6699
T20080024757,51107,3158
T20080024795,42337,6327
T20080024839,49662,7614
T20080024865,41182,8881
T20080024890,223511,5233
T20080024909,35690,1170
T20080024910,930,6851
T20080024953,10592,1000
T20080025061,48998,1026
T20080025112,29387,9521
T20080025128,39933,8971
T20080025154,57123,9157
T20080025167,19,9328
T20080025190,39557,5332
T20080025201,55417,1259
T20080025221,53208,7838
T20080025230,42610,6187
T20080025240,169,9409
T20080025387,46387,7716
T20080025494,43287,6699
T20080025554,59756,4176
T20080025575,35408,9657
T20080025608,55376,2368
T20080025613,78,9515
T20080025621,29429,9539
T20080025623,36984,8845
T20080025667,10592,1000
T20080025682,37297,9053
T20080025757,84,5298
T20080025856,329,5293
T20080025883,43287,6699
T20080025919,37838,9293
T20080025955,38938,5394
T20080025960,47824,100398
T20080025993,29386,9310
T20080026013,38321,5137
T20080026077,1175,6804
T20080026113,40875,5470
T20080026119,46350,100822
T20080026129,43779,1021
T20080026134,45430,9203
T20080026140,43632,6686
T20080026141,43632,6686
T20080026205,36374,5773
T20080026258,55361,5446
T20080026273,713,6096
T20080026334,39255,101193
T20080026418,56710,7944
T20080026462,29816,9249
T20080026515,35769,4026
T20080026555,795,6148
T20080026590,38487,5073
T20080026624,49649,7608
T20080026718,41920,5839
T20080026728,35862,8808
T20080026801,43242,102177
T20080026829,36548,6642
T20080026879,840,6575
T20080026901,217799,9377
T20080026986,36693,9363
T20080027053,83,9402
T20080027165,47157,100030
T20080027235,127,8920
T20080027262,43863,6741
T20080027263,35705,8789
T20080027271,47319,9719
T20080027274,11171,9342
T20080027366,39219,101536
T20080027376,40850,5496
T20080027382,40909,5665
T20080027411,29435,8839
T20080027425,228,9537
T20080027445,36932,9528
T20080027510,29387,9521
T20080027572,35784,7797
T20080027574,38155,9131
T20080027636,46463,6385
T20080027653,49826,7689
T20080027719,53412,5834
T20080027755,876,6431
T20080027769,35620,6513
T20080027772,29384,6273
T20080027825,40863,5490
T20080027847,43974,7101
T20080027897,28824,1002
T20080027901,15139,2390
T20080027924,52286,1272
T20080027942,44031,7145
T20080027947,29464,9643
T20080028021,37653,5571
T20080028100,37164,8622
T20080028158,29425,9516
T20080028166,54837,3158
T20080028282,793,1000
T20080028282,793,6245
T20080028291,40870,5480
T20080028296,959,6994
T20080028385,920,6904
T20080028386,37962,9095
T20080028415,39504,5364
T20080028574,343,5292
T20080028665,222946,9344
T20080028693,53892,7667
T20080028741,52859,2365
T20080028780,44909,9229
T20080028794,38993,5227
T20080028847,37788,5524
T20080028926,35572,6147
T20080029008,41,6788
T20080029056,35882,100267
T20080029079,57054,9038
T20080029112,46152,7006
T20080029117,612,5608
T20080029122,38263,5081
T20080029124,40863,5490
T20080029141,50635,7992
T20080029163,49277,2362
T20080029190,1316,8736
T20080029205,42590,6344
T20080029230,52840,2339
T20080029244,228,9537
T20080029290,53878,9068
T20080029312,29591,9695
T20080029342,42880,6387
T20080029429,57203,7787
T20080029528,36599,8681
T20080029549,36796,6629
T20080029618,36983,9581
T20080029648,41964,5902
T20080029687,35537,5881
T20080029692,84,5298
T20080029715,45654,9115
T20080029729,47153,6379
T20080029748,45642,9282
T20080029775,43027,6462
T20080029804,874,6570
T20080029855,12428,9033
T20080029877,35862,8808
T20080029939,15406,7740
T20080030025,42880,6387
T20080030066,41953,5903
T20080030075,51107,3158
T20080030184,52110,1168
T20080030238,35862,8808
T20080030265,35578,6356
T20080030296,29372,9309
T20080030319,42746,6367
T20080030350,39033,5209
T20080030385,48119,5199
T20080030386,37583,9590
T20080030445,43260,6626
T20080030496,35416,5594
T20080030504,49524,3283
T20080030576,36212,6564
T20080030577,36548,6642
T20080030583,795,6148
T20080030623,49662,7614
T20080030666,53513,1254
T20080030684,42787,6430
T20080030704,46152,7006
T20080030755,11,9305
T20080030779,40838,5655
T20080030788,41364,6023
T20080030821,70800,6559
T20080030844,52392,101501
T20080030847,43634,6614
T20080030874,35442,100165
T20080030891,35315,6521
T20080030893,49210,1268
T20080030938,41920,5839
T20080030945,40,6777
T20080030959,14250,5555
T20080030986,35891,6881
T20080031020,29746,6662
T20080031091,793,1000
T20080031091,793,6245
T20080031119,15406,7740
T20080031135,29416,9498
T20080031177,1248,8779
T20080031193,801,6326
T20080031227,43049,6487
T20080031267,35625,6586
T20080031306,224308,9684
T20080031321,36789,6709
T20080031333,35909,4021
T20080031371,44497,7786
T20080031381,224287,6491
T20080031382,49991,101902
T20080031394,35642,7050
T20080031483,57229,100591
T20080031527,84,5298
T20080031569,84,5298
T20080031574,10592,1000
T20080031581,45568,9136
T20080031582,36210,9380
T20080031599,46695,6177
T20080031609,35643,7036
T20080031616,35782,7715
T20080031745,57065,9272
T20080031762,29372,9309
T20080031779,50635,7992
T20080031786,42759,6422
T20080031876,42975,6370
T20080031897,41745,6126
T20080031938,35407,9645
T20080031949,40500,5586
T20080032009,40861,5472
T20080032115,29920,7844
T20080032287,40520,5591
T20080032339,48512,101538
T20080032420,40373,5598
T20080032466,35465,5351
T20080032482,41865,5813
T20080032494,37894,9123
T20080032507,917,6908
T20080032519,35881,100628
T20080032598,37170,9552
T20080032616,41,6788
T20080032704,42746,6367
T20080032719,42866,6484
T20080032754,49910,7713
T20080032766,57667,1232
T20080032779,57716,5936
T20080032901,57446,5245
T20080032909,42744,6382
T20080032973,35069,9451
T20080032975,37406,6761
T20080033192,48539,6153
T20080033216,57720,9592
T20080033229,39844,5311
T20080033231,10592,1000
T20080033262,906,6917
T20080033285,40961,5457
T20080033320,57716,5936
T20080033336,218516,5826
T20080033369,57437,5180
T20080033433,29387,9521
T20080033435,35785,7797
T20080033548,52926,2385
T20080033550,36189,8762
T20080033601,43143,6433
T20080033604,43287,6699
T20080033642,57727,2321
T20080033760,29794,6759
T20080033763,43287,6699
T20080033827,260,102903
T20080033893,38377,5135
T20080033925,41916,5834
T20080033958,50218,7830
T20080033984,93,5243
T20080034064,490,5421
T20080034071,36208,9365
T20080034118,36160,6944
T20080034146,587,5727
T20080034169,533,8929
T20080034229,29395,8901
T20080034357,55791,6354
T20080034369,22,9361
T20080034386,29816,9249
T20080034426,49826,7689
T20080034428,39773,101061
T20080034485,43564,7058
T20080034487,35413,5596
T20080034503,29525,9412
T20080034533,15406,7740
T20080034575,78,9515
T20080034620,46085,1000
T20080034652,84,5298
T20080034751,84,5298
T20080034860,40914,5743
T20080034952,39686,101867
T20080035019,55791,6354
T20080035054,899,6833
T20080035063,39789,5189
T20080035103,54191,9538
T20080035188,35568,5880
T20080035189,224345,9001
T20080035218,29565,5378
T20080035229,35775,2440
T20080035251,57721,1186
T20080035288,43747,8756
T20080035301,40942,5674
T20080035349,220104,9299
T20080035376,36938,6707
T20080035383,52236,1250
T20080035462,795,6148
T20080035478,57318,2205
T20080035510,33759,5868
T20080035551,673,5963
T20080035568,30032,2342
T20080035670,222727,5865
T20080035694,37962,9095
T20080035748,50536,7654
T20080035784,544,1017
T20080035943,259302,3143
T20080035963,57753,2299
T20080035999,40894,5585
T20080036065,57484,9583
T20080036112,46102,8894
T20080036143,29386,9310
T20080036162,35436,9484
T20080036202,29746,6662
T20080036207,57754,6558
T20080036221,52939,102063
T20080036294,673,5963
T20080036407,38572,8841
T20080036502,242,9558
T20080036505,228,9537
T20080036532,57065,9272
T20080036560,35627,6675
T20080036568,43634,6614
T20080036666,36160,6944
T20080036676,35428,5082
T20080036685,40564,5486
T20080036717,29364,9306
T20080036743,106,6921
T20080036808,43367,1022
T20080036829,36780,5062
T20080036835,29372,9309
T20080036906,35379,7785
T20080036920,919,6906
T20080037087,35562,5981
T20080037148,41767,6005
T20080037176,39748,5169
T20080037194,49903,101884
T20080037289,54466,1266
T20080037305,793,1000
T20080037305,793,6245
T20080037347,29813,9204
T20080037350,43641,6730
T20080037430,51267,100089
T20080037431,54836,1081
T20080037457,932,6991
T20080037505,953,6975
T20080037535,41864,5985
T20080037641,15202,3093
T20080037668,52488,2001
T20080037751,40812,5750
T20080037772,587,5727
T20080037777,65998,5342
T20080037795,29836,9447
T20080037878,57741,9303
T20080037931,29837,8737
T20080038001,46197,6363
T20080038022,35562,5981
T20080038081,37261,9497
T20080038140,29816,9249
T20080038188,57474,9545
T20080038197,52121,1176
T20080038222,15406,7740
T20080038235,53184,1001
T20080038235,53184,9392
T20080038253,29710,6445
T20080038296,127,8920
T20080038343,29416,9498
T20080038358,35465,5351
T20080038459,38321,5137
T20080038487,224637,2131
T20080038507,38315,8764
T20080038536,890,6631
T20080038569,44909,9229
T20080038580,84,5298
T20080038624,57779,5441
T20080038634,36221,9332
T20080038648,57782,1169
T20080038705,29372,9309
T20080038818,29754,8761
T20080038840,46695,6177
T20080038875,11397,9051
T20080038879,36173,6718
T20080038880,35386,6671
T20080038907,51496,4146
T20080038917,50027,7742
T20080038987,37741,5511
T20080039036,29998,2319
T20080039042,35511,5738
T20080039161,40175,5637
T20080039194,37496,5148
T20080039224,14250,5555
T20080039266,43747,8756
T20080039327,39361,5319
T20080039352,32836,6532
T20080039518,36287,9421
T20080039548,36997,101916
T20080039600,36466,5982
T20080039603,10592,1000
T20080039620,42746,6367
T20080039712,51145,3181
T20080039831,57522,5700
T20080039876,36997,101916
T20080040016,29395,8901
T20080040029,52369,1091
T20080040062,36160,6944
T20080040153,998,8763
T20080040191,41371,6146
T20080040222,119,9612
T20080040224,57348,8653
T20080040302,932,6991
T20080040329,224568,5902
T20080040338,57803,100900
T20080040348,57359,8773
T20080040393,343,5292
T20080040425,36982,9575
T20080040458,15312,4338
T20080040484,48539,6153
T20080040545,29387,9521
T20080040681,29920,7844
T20080040685,224681,1020
T20080040700,35387,9561
T20080040739,58071,9534
T20080040760,57852,9301
T20080040775,41894,5932
T20080040776,37859,9122
T20080040785,221849,5127
T20080040863,41765,5891
T20080040887,46312,9148
T20080040899,35408,9657
T20080040907,1195,7863
T20080040974,57801,101166
T20080040984,46158,9591
T20080041007,56459,8573
T20080041052,35375,9468
T20080041224,46908,9250
T20080041237,35714,9253
T20080041272,54913,5037
T20080041369,1038,7148
T20080041423,43287,6699
T20080041426,293752,1278
T20080041481,29404,6679
T20080041506,35407,9645
T20080041509,10850,9547
T20080041605,892,6663
T20080041608,57542,5878
T20080041612,29988,100931
T20080041673,119,9612
T20080041698,57652,7741
T20080041811,24378,6762
T20080041873,36215,9410
T20080041894,52773,2288
T20080041946,39360,102150
T20080041956,57813,9226
T20080041958,39728,9019
T20080041980,39747,5164
T20080042039,57726,6571
T20080042085,35465,5351
T20080042092,793,1000
T20080042092,793,6245
T20080042132,35368,100433
T20080042157,19446,4197
T20080042223,37170,9552
T20080042298,43973,7093
T20080042327,57937,1383
T20080042354,38321,5137
T20080042364,35748,6562
T20080042445,627,5482
T20080042461,195,6438
T20080042467,57531,9706
T20080042475,221992,6092
T20080042499,43441,6933
T20080042531,10850,9547
T20080042581,43580,6995
T20080042607,47741,8811
T20080042730,49662,7614
T20080042762,35588,6213
T20080042789,37295,9451
T20080042792,37295,9451
T20080042882,57548,5903
T20080042910,52125,1177
T20080042911,224779,1115
T20080042944,72527,1188
T20080042979,29763,6735
T20080043068,42590,6344
T20080043170,221969,4308
T20080043288,35728,6276
T20080043296,46316,9483
T20080043328,35408,9657
T20080043335,35384,9470
T20080043412,44993,3137
T20080043429,44796,1381
T20080043449,35439,9436
T20080043450,44938,9091
T20080043481,260,102903
T20080043526,57065,9272
T20080043541,1062,7198
T20080043587,50131,7784
T20080043590,57596,6430
T20080043604,37962,9095
T20080043636,222424,102805
T20080043650,43632,6686
T20080043750,57835,8557
T20080043756,48278,7741
T20080043768,47013,5933
T20080043815,33759,5868
T20080043838,15413,7764
T20080043873,40189,5639
T20080043884,15202,3093
T20080043913,45118,9256
T20080043968,44892,9184
T20080044038,57867,4174
T20080044103,57385,8988
T20080044139,44909,9229
T20080044157,41376,5904
T20080044219,29372,9309
T20080044249,57839,6888
T20080044328,1246,9208
T20080044337,35368,100433
T20080044343,78,9515
T20080044351,41036,5733
T20080044428,221180,5596
T20080044545,50959,3090
T20080044552,54138,8949
T20080044573,46387,7716
T20080044652,39688,100684
T20080044657,84,5298
T20080044718,10893,7605
T20080044735,43286,6690
T20080044736,45881,1030
T20080044746,12930,9710
T20080044785,19446,4197
T20080044791,57901,9003
T20080044853,54798,9065
T20080044881,57821,9499
T20080044911,29798,8982
T20080044933,40110,101131
T20080045014,49331,4280
T20080045017,35726,5554
T20080045045,16155,7837
T20080045067,57605,6536
T20080045079,35611,6426
T20080045084,29746,6662
T20080045111,57701,8029
T20080045185,42414,6258
T20080045273,35646,8526
T20080045287,16155,7837
T20080045343,36321,6357
T20080045400,250940,5890
T20080045433,15443,100290
T20080045505,41364,6023
T20080045516,35400,9627
T20080045585,15437,7861
T20080045599,46350,100822
T20080045600,36151,6142
T20080045603,57846,6573
T20080045630,42290,6176
T20080045705,35428,5082
T20080045706,38711,9314
T20080045734,40872,5535
T20080045748,868,6542
T20080045809,52840,2339
T20080045810,57847,6422
T20080045837,29372,9309
T20080045973,29710,6445
T20080045976,92,7847
T20080046040,42232,6353
T20080046051,35546,5856
T20080046061,38315,8764
T20080046083,36160,6944
T20080046116,36858,9543
T20080046123,795,6148
T20080046136,892,6663
T20080046156,37536,6638
T20080046161,890,6631
T20080046175,37741,5511
T20080046229,35619,6506
T20080046307,39539,5260
T20080046339,35785,7797
T20080046392,29816,9249
T20080046399,37703,5593
T20080046527,29672,6065
T20080046553,29893,9389
T20080046618,49988,101902
T20080046637,38607,9464
T20080046739,68497,5868
T20080046740,42506,102226
T20080046743,33701,9396
T20080046748,259302,3143
T20080046750,50012,7738
T20080046958,221998,101866
T20080046977,37704,5593
T20080047038,37424,9642
T20080047052,57431,9296
T20080047185,57878,8816
T20080047230,35636,1022
T20080047257,1318,9102
T20080047259,56077,7739
T20080047267,219991,9728
T20080047277,16155,7837
T20080047284,36528,5165
T20080047335,43120,101822
T20080047370,222665,7600
T20080047380,35788,7948
T20080047409,37962,9095
T20080047471,45952,9375
T20080047475,36210,9380
T20080047553,52770,2287
T20080047610,890,6631
T20080047626,35389,9506
T20080047649,56018,1337
T20080047686,57553,5929
T20080047753,29465,9638
T20080047854,220009,9449
T20080047860,29996,1224
T20080047866,46152,7006
T20080047918,12930,9710
T20080047934,29816,9249
T20080047936,38477,5048
T20080047948,41116,9710
T20080047978,55362,1143
T20080048022,43895,6872
T20080048047,29729,9070
T20080048120,57912,5196
T20080048135,37702,5596
T20080048227,29893,9389
T20080048332,934,6938
T20080048343,57585,6263
T20080048361,478,5278
T20080048384,99921,1000
T20080048440,43260,6626
T20080048441,42157,6253
T20080048473,55599,1271
T20080048487,1203,8510
T20080048496,52865,2372
T20080048499,929,6871
T20080048510,40093,9663
T20080048545,222633,7117
T20080048558,917,6908
T20080048581,52690,2201
T20090000021,44633,9074
T20090000092,50483,4193
T20090000153,57996,4310
T20090000181,39675,100208
T20090000285,220188,8554
T20090000290,35620,6513
T20090000328,277168,7076
T20090000386,534,5290
T20090000418,49800,7678
T20090000428,39715,5186
T20090000436,54138,8949
T20090000442,224619,8746
T20090000673,31965,5580
T20090000783,38993,5227
T20090000827,53216,9528
T20090000900,48621,9162
T20090000901,29871,9146
T20090000911,34021,5747
T20090000919,43981,7069
T20090000984,10592,1000
T20090000990,33604,7111
T20090001009,39626,5388
T20090001088,29384,6273
T20090001173,223827,7851
T20090001202,30820,9300
T20090001284,38255,8715
T20090001298,54721,8022
T20090001302,57933,9612
T20090001306,57934,7173
T20090001334,57573,6153
T20090001352,44443,7680
T20090001355,57492,9626
T20090001370,45974,5637
T20090001384,57469,9503
T20090001409,29961,1354
T20090001449,49649,7608
T20090001485,29372,9309
T20090001491,44465,7789
T20090001500,46387,7716
T20090001501,44465,7789
T20090001725,57979,5834
T20090001735,30030,2460
T20090001786,106,6921
T20090001824,32586,6043
T20090001903,57954,5875
T20090002005,40939,5527
T20090002031,35431,1016
T20090002054,29365,9306
T20090002108,38313,5120
T20090002123,35737,6772
T20090002130,36466,5982
T20090002141,44918,9211
T20090002148,33604,7111
T20090002157,228,9537
T20090002236,42451,6172
T20090002365,29953,7851
T20090002419,43004,6362
T20090002440,44912,9254
T20090002525,57966,101768
T20090002663,52494,1024
T20090002687,29920,7844
T20090002830,45881,1030
T20090002998,29416,9498
T20090003073,35642,7050
T20090003076,42460,6354
T20090003147,39191,5190
T20090003272,84,5298
T20090003274,37583,9590
T20090003276,29503,101154
T20090003351,35069,9451
T20090003380,40863,5490
T20090003411,58068,9728
T20090003490,220698,8851
T20090003496,57987,9221
T20090003513,64988,5198
T20090003590,29887,1002
T20090003748,29922,9294
T20090003765,57937,1383
T20090003784,57573,6153
T20090003831,15439,7866
T20090003843,43081,6397
T20090003979,369,9619
T20090004053,58082,102252
T20090004092,36041,9255
T20090004095,49404,7553
T20090004223,52110,1168
T20090004252,14474,6648
T20090004267,57577,6160
T20090004298,43095,6381
T20090004302,39802,5405
T20090004382,38377,5135
T20090004386,46819,9617
T20090004683,41910,5898
T20090004688,43772,8914
T20090004804,15456,7911
T20090004874,53359,2307
T20090004896,29442,5759
T20090004902,11,9305
T20090004935,35784,7797
T20090004962,29562,8856
T20090005022,33534,100714
T20090005093,57353,8705
T20090005205,29556,101537
T20090005229,49240,2370
T20090005330,11397,9051
T20090005373,612,5608
T20090005400,38576,1004
T20090005433,57489,5478
T20090005438,49240,2370
T20090005538,38098,9117
T20090005564,57709,9515
T20090005578,892,6663
T20090005679,43639,6681
T20090005685,32012,5608
T20090005794,58029,7812
T20090005804,37019,6704
T20090005827,37200,9503
T20090005828,35939,9142
T20090005908,228,9537
T20090005932,57538,5867
T20090005991,929,6871
T20090006022,46543,1004
T20090006052,46405,9150
T20090006119,67813,9687
T20090006145,84,5298
T20090006155,58034,9409
T20090006159,222327,1372
T20090006272,953,6975
T20090006279,40577,5680
T20090006309,34021,5747
T20090006355,35572,6147
T20090006398,39320,5382
T20090006525,534,5290
T20090006570,29777,7189
T20090006581,36210,9380
T20090006595,29893,9389
T20090006608,244718,9720
T20090006754,44623,101135
T20090006760,38220,8669
T20090006789,39802,5405
T20090006850,10592,1000
T20090006908,52494,1024
T20090006916,46197,6363
T20090006972,249,9522
T20090006994,29773,7084
T20090007003,46658,101111
T20090007011,29522,9325
T20090007018,29435,8839
T20090007046,46819,9617
T20090007071,30025,4023
T20090007100,34021,5747
T20090007176,29694,6537
T20090007189,30323,8539
T20090007214,47973,9705
T20090007248,57356,2440
T20090007263,57539,5865
T20090007266,29512,5106
T20090007325,37962,9095
T20090007369,34410,9190
T20090007390,58058,101748
T20090007428,24378,6762
T20090007480,47153,6379
T20090007566,868,6542
T20090007605,57434,5172
T20090007623,37952,101069
T20090007652,40289,5509
T20090007795,57471,9516
T20090007806,29396,9434
T20090007835,36862,9577
T20090008008,29755,8696
T20090008047,29591,9695
T20090008059,42565,100548
T20090008121,29771,6947
T20090008125,65993,5340
T20090008143,35330,6598
T20090008246,37872,9182
T20090008452,713,6096
T20090008503,39747,5164
T20090008517,225346,8967
T20090008555,29429,9539
T20090008669,46327,6362
T20090008704,57594,6389
T20090008868,54410,101096
T20090008885,34021,5747
T20090008993,35714,9253
T20090009011,43170,6596
T20090009015,58084,8592
T20090009025,58085,7899
T20090009043,29906,6862
T20090009046,29573,5359
T20090009066,46379,6667
T20090009071,22519,102897
T20090009075,40110,101131
T20090009113,41019,8887
T20090009159,58075,1325
T20090009164,34265,7651
T20090009215,45878,100685
T20090009360,222615,9671
T20090009395,949,6964
T20090009428,29743,7064
T20090009489,39558,5337
T20090009558,58080,9184
T20090009671,46750,8742
T20090009725,31588,5358
T20090009779,49994,101902
T20090009802,31588,5358
T20090009808,793,1000
T20090009808,793,6245
T20090009891,46544,8975
T20090009931,34398,9485
T20090009978,868,6542
T20090010003,57501,9645
T20090010010,33759,5868
T20090010041,29525,9412
T20090010043,29702,6447
T20090010052,41843,5786
T20090010052,41843,5790
T20090010061,57846,6573
T20090010066,55700,5441
T20090010100,29816,9249
T20090010170,29517,9354
T20090010198,58086,8885
T20090010205,29538,5397
T20090010245,29470,5500
T20090010268,34518,9090
T20090010303,167,8678
T20090010369,44245,8587
T20090010429,29968,3115
T20090010445,34536,5578
T20090010467,53892,7667
T20090010510,29998,2319
T20090010513,29556,101537
T20090010539,15202,3093
T20090010544,30032,2342
T20090010551,29939,7640
T20090010555,36997,101916
T20090010684,29887,1002
T20090010741,50996,3110
T20090010749,29832,9237
T20090010811,34185,4029
T20090010974,39397,5166
T20090011026,343,5292
T20090011085,732,5853
T20090011164,919,6906
T20090011199,876,6431
T20090011348,29565,5378
T20090011375,29549,5329
T20090011389,222201,7631
T20090011409,29448,9748
T20090011418,29954,7888
T20090011453,29652,5939
T20090011458,29387,9521
T20090011461,33419,7749
T20090011465,38321,5137
T20090011479,29378,5054
T20090011645,29746,6662
T20090011718,38315,8764
T20090011731,222575,101854
T20090011733,29474,5508
T20090011741,29735,6896
T20090011785,35379,7785
T20090011875,41765,5891
T20090011917,29438,9495
T20090011952,34510,9138
T20090011959,83,9402
T20090011970,29743,7064
T20090012166,46997,1002
T20090012221,30011,8006
T20090012314,534,5290
T20090012344,29869,9737
T20090012351,29672,6065
T20090012455,29700,6568
T20090012508,37702,5596
T20090012565,29816,9249
T20090012581,44972,9096
T20090012672,29879,101537
T20090012738,15406,7740
T20090012977,22519,102897
T20090013011,30169,2114
T20090013020,1062,7198
T20090013021,30820,9300
T20090013027,35114,6504
T20090013087,30027,3105
T20090013123,42197,6313
T20090013128,1323,8786
T20090013221,29755,8696
T20090013223,29741,6953
T20090013231,29618,5641
T20090013282,29387,9521
T20090013309,29748,6728
T20090013342,35262,7730
T20090013357,38255,8715
T20090013438,29387,9521
T20090013448,34813,9310
T20090013480,29953,7851
T20090013523,29416,9498
T20090013530,957,6983
T20090013661,29729,9070
T20090013699,37911,9259
T20090013815,732,5853
T20090013866,29763,6735
T20090013871,46908,9250
T20090013878,29464,9643
T20090013921,29464,9643
T20090013928,29425,9516
T20090013937,29837,8737
T20090013998,10592,1000
T20090014040,868,6542
T20090014051,29893,9389
T20090014063,34986,6805
T20090014154,934,6938
T20090014158,228,9537
T20090014325,32435,5783
T20090014385,36214,9401
T20090014401,34918,101276
T20090014461,29375,9340
T20090014509,29710,6445
T20090014512,29947,7726
T20090014534,68506,5873
T20090014535,277173,7076
T20090014597,223650,7610
T20090014686,32692,6148
T20090014742,32393,5748
T20090014812,43567,7053
T20090014823,29517,9354
T20090014928,43935,102895
T20090014977,222303,6983
T20090015015,29404,6679
T20090015087,35081,7025
T20090015130,33759,5868
T20090015209,42176,6277
T20090015224,792,6188
T20090015284,50405,8039
T20090015313,29618,5641
T20090015374,29364,9306
T20090015561,29860,6391
T20090015569,41363,6020
T20090015596,29566,5380
T20090015675,29378,5054
T20090015746,30007,7752
T20090015790,46084,9549
T20090015803,222387,8561
T20090015812,29950,7780
T20090015944,57779,5441
T20090015989,892,6663
T20090016081,29908,8606
T20090016147,410,9108
T20090016278,64852,9314
T20090016292,29491,9092
T20090016327,29877,6764
T20090016389,29999,2294
T20090016397,46084,9549
T20090016430,29631,8885
T20090016450,222637,102079
T20090016469,43152,6443
T20090016491,10592,1000
T20090016562,72427,100813
T20090016585,50177,7811
T20090016592,32247,5669
T20090016739,32492,5832
T20090016783,33419,7749
T20090016805,57709,9515
T20090016832,42474,6195
T20090016883,51855,4025
T20090016981,29404,6679
T20090016982,17614,3101
T20090017004,44835,1337
T20090017013,29748,6728
T20090017020,29744,7045
T20090017108,32382,5743
T20090017124,42081,101356
T20090017158,53208,7838
T20090017168,69137,6063
T20090017173,50013,7738
T20090017184,29395,8901
T20090017244,39785,5416
T20090017269,29743,7064
T20090017412,222523,5595
T20090017510,39728,9019
T20090017531,29832,9237
T20090017539,35636,1022
T20090017600,38694,8704
T20090017692,883,9040
T20090017697,222798,9601
T20090017788,83,9402
T20090017922,40035,9603
T20090017931,277179,3277
T20090017938,29871,9146
T20090018001,15443,100290
T20090018034,57531,9706
T20090018071,222851,1029
T20090018108,46284,102901
T20090018119,223694,7628
T20090018167,43152,6443
T20090018378,226486,1002
T20090018466,42791,6477
T20090018522,224767,9242
T20090018530,49680,7621
T20090018606,38155,9131
T20090018611,60301,3275
T20090018624,40914,5743
T20090018715,222859,7829
T20090018716,278557,6821
T20090018796,36858,9543
T20090018805,222946,9344
T20090018827,42947,6472
T20090018887,49349,3036
T20090018916,29454,9598
T20090019015,222997,101905
T20090019028,39558,5337
T20090019112,42157,6253
T20090019153,43662,8531
T20090019183,55834,1227
T20090019255,48134,102816
T20090019257,56087,1175
T20090019266,42155,6261
T20090019293,222986,4181
T20090019357,37777,8693
T20090019359,36982,9575
T20090019412,43895,6872
T20090019473,44997,9238
T20090019480,673,5963
T20090019620,29870,9551
T20090019650,29464,9643
T20090019728,29404,6679
T20090019735,53021,2415
T20090019776,39137,101538
T20090019778,37587,9601
T20090019912,599,5558
T20090019920,66242,5397
T20090019980,36291,9428
T20090020016,223228,7780
T20090020023,36160,6944
T20090020064,43859,6846
T20090020087,228,9537
T20090020142,22677,2161
T20090020225,39728,9019
T20090020276,29836,9447
T20090020347,65450,5256
T20090020385,84,5298
T20090020432,29538,5397
T20090020574,224568,5902
T20090020657,42815,6544
T20090020782,223296,6202
T20090020791,627,5482
T20090020794,42451,6172
T20090020865,223311,5897
T20090020993,38608,8698
T20090021072,38220,8669
T20090021149,42575,6322
T20090021169,223310,8719
T20090021198,42805,6510
T20090021247,43152,6443
T20090021278,41713,5798
T20090021329,29517,9354
T20090021336,223339,7683
T20090021454,43674,8532
T20090021564,37143,9550
T20090021712,42822,9061
T20090021771,36731,5747
T20090021772,57530,5752
T20090021822,14474,6648
T20090021910,46255,5145
T20090021978,36651,6654
