ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120002179,1,Dry,1
T20120002181,1,Dry,1
T20120002182,1,Dry,1
T20120002184,1,Dry,1
T20120002185,1,Dry,1
T20120002189,1,Dry,1
T20120002191,1,Dry,1
T20120002195,1,Dry,1
T20120002197,1,Dry,1
T20120002199,1,Dry,1
T20120002200,2,Wet,1
T20120002202,1,Dry,1
T20120002203,1,Dry,1
T20120002206,1,Dry,1
T20120002211,1,Dry,1
T20120002215,2,Wet,1
T20120002216,2,Wet,1
T20120002217,2,Wet,1
T20120002221,2,Wet,1
T20120002223,1,Dry,1
T20120002224,1,Dry,1
T20120002227,2,Wet,1
T20120002228,2,Wet,1
T20120002232,2,Wet,1
T20120002235,1,Dry,1
T20120002236,1,Dry,1
T20120002238,2,Wet,1
T20120002241,2,Wet,1
T20120002242,1,Dry,1
T20120002246,1,Dry,1
T20120002248,1,Dry,1
T20120002249,1,Dry,1
T20120002251,2,Wet,1
T20120002253,2,Wet,1
