ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120000541,1,Dry,1
T20120000543,1,Dry,1
T20120000544,1,Dry,1
T20120000545,1,Dry,1
T20120000554,1,Dry,1
T20120000557,1,Dry,1
T20120000559,1,Dry,0
T20120000560,9,Unknown,1
T20120000565,1,Dry,1
T20120000568,1,Dry,1
T20120000573,9,Unknown,1
T20120000574,1,Dry,1
T20120000577,1,Dry,1
T20120000578,1,Dry,1
T20120000579,1,Dry,1
T20120000581,9,Unknown,1
T20120000587,1,Dry,1
T20120000592,1,Dry,1
T20120000593,1,Dry,1
T20120000595,1,Dry,1
T20120000598,1,Dry,1
T20120000600,1,Dry,1
T20120000601,1,Dry,1
T20120000602,1,Dry,1
T20120000603,1,Dry,1
T20120000607,2,Wet,1
T20120000608,1,Dry,1
T20120000610,1,Dry,1
T20120000615,1,Dry,0
T20120000616,1,Dry,1
T20120000617,1,Dry,1
T20120000620,1,Dry,1
T20120000621,1,Dry,1
T20120000623,1,Dry,1
T20120000630,1,Dry,1
T20120000631,2,Wet,1
T20120000632,2,Wet,1
T20120000635,1,Dry,1
T20120000637,2,Wet,1
T20120000638,1,Dry,1
T20120000639,1,Dry,1
T20120000640,1,Dry,1
T20120000641,1,Dry,1
T20120000645,1,Dry,1
T20120000646,1,Dry,1
T20120000648,1,Dry,0
T20120000649,9,Unknown,1
T20120000650,1,Dry,1
T20120000655,1,Dry,1
T20120000656,2,Wet,1
T20120000658,1,Dry,1
T20120000659,1,Dry,1
T20120000661,1,Dry,1
T20120000664,2,Wet,1
T20120000665,1,Dry,1
T20120000666,1,Dry,1
T20120000671,9,Unknown,1
T20120000672,1,Dry,1
T20120000673,1,Dry,1
T20120000674,1,Dry,1
T20120000675,1,Dry,1
T20120000676,1,Dry,1
T20120000678,1,Dry,1
T20120000686,1,Dry,1
T20120000694,9,Unknown,1
T20120000698,1,Dry,1
T20120000706,2,Wet,1
T20120000710,1,Dry,1
T20120000712,9,Unknown,1
T20120000714,1,Dry,1
T20120000715,1,Dry,1
T20120000717,1,Dry,1
T20120000718,1,Dry,1
T20120000719,2,Wet,1
T20120000725,9,Unknown,1
T20120000727,1,Dry,1
T20120000728,1,Dry,1
T20120000730,1,Dry,1
T20120000732,1,Dry,1
T20120000736,2,Wet,1
T20120000739,2,Wet,1
T20120000740,2,Wet,1
T20120000742,1,Dry,1
T20120000744,2,Wet,1
T20120000745,1,Dry,1
T20120000747,2,Wet,1
T20120000748,9,Unknown,1
T20120000750,1,Dry,1
T20120000751,1,Dry,1
T20120000752,2,Wet,1
T20120000754,2,Wet,1
T20120000759,1,Dry,1
T20120000761,2,Wet,1
T20120000764,1,Dry,1
T20120000768,1,Dry,1
T20120000771,1,Dry,1
